[2026-07-25T08:37:50.648Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-25T08:37:50.651Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-25T08:37:50.652Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-25T08:37:50.653Z] [INFO] Daemon started (PID: 2135393, CPUs: 12, workers: 7, maxCpuLoad: 9.600000000000001, minFreeMemoryPercent: 10%)
[2026-07-25T08:37:50.658Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-25T08:37:50.661Z] [INFO] Worker map completed in 4ms
[2026-07-25T08:39:50.657Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-25T08:39:50.657Z] [INFO] Worker audit completed in 1ms
[2026-07-25T08:41:50.656Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-25T08:41:50.657Z] [INFO] Worker optimize completed in 2ms
[2026-07-25T08:43:50.659Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-25T08:43:50.663Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-25T08:43:50.663Z] [INFO] Worker consolidate completed in 6ms
[2026-07-25T08:45:50.657Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-25T08:45:50.658Z] [INFO] Worker testgaps completed in 2ms
[2026-07-25T08:47:50.656Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-25T08:47:50.657Z] [INFO] Worker backup completed in 2ms
[2026-07-25T08:49:50.656Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-25T08:49:50.659Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-25T08:49:50.659Z] [INFO] Worker audit completed in 1ms
[2026-07-25T08:49:50.674Z] [INFO] Worker harness completed in 18ms
[2026-07-25T08:52:50.667Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-25T08:52:50.668Z] [INFO] Worker map completed in 2ms
[2026-07-25T08:56:50.662Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-25T08:56:50.662Z] [INFO] Worker optimize completed in 1ms
[2026-07-25T08:59:50.664Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-25T08:59:50.665Z] [INFO] Worker audit completed in 1ms
